Entry;Negativ;Active;IAV;Positiv;Strong;PowTot;Ngtv;Pstv;Passive;ComForm;EnlTot;Hostile;HU;Weak;Virtue
A;;;;;;;;;;;;;;;
ABANDON;Negativ;;IAV;;;;Ngtv;;;;;;;Weak;
ABANDONMENT;Negativ;;;;;;;;;;;;;Weak;
ABATE;Negativ;;IAV;;;;;;Passive;;;;;;
ABATEMENT;;;;;;;;;;;;;;;
ABDICATE;Negativ;;IAV;;;;;;Passive;;;;;Weak;
ABHOR;Negativ;;;;;;;;Passive;;;Hostile;;;
ABIDE;;Active;IAV;Positiv;;;;;;;;;;;
ABILITY;;;;Positiv;Strong;;;;;;;;;;Virtue
ABJECT;Negativ;;;;;;;;Passive;;;;;Weak;
ABLE;;;;Positiv;Strong;;;Pstv;;;;;;;Virtue
ABNORMAL;Negativ;;;;;;Ngtv;;;;;;;;
ABOARD;;;;;;;;;;;;;;;
ABOLISH;Negativ;Active;IAV;;Strong;PowTot;Ngtv;;;;;Hostile;;;
ABOLITION;;;;;;;;;;;;;;;
ABOMINABLE;Negativ;;;;Strong;;;;;;;;;;
ABORTIVE;;;;;;PowTot;;;;;;;;;
ABOUND;;;IAV;Positiv;;;;;Passive;;;;;;
ABOUT#1;;;;;;;;;;;;;;;
ABOUT#2;;;;;;;;;;;;;;;
ABOUT#3;;;;;;;;;;;;;;;
ABOUT#4;;;;;;;;;;;;;;;
ABOUT#5;;;;;;;;;;;;;;;
ABOUT#6;;;;;;;;;;;;;;;
ABOUT#7;;;;;;;;;;;;;;;
ABOVE#1;;;;;;;;;;;;;;;
ABOVE#2;;;;;;;;;;;;;;;
ABOVE#3;;;;;;;;;;;;;;;
ABOVE#4;;;;;;;;;;;;;;;
ABRASIVE;Negativ;;;;Strong;;;;;;;Hostile;;;
ABROAD;;;;;;;;;;;;;;;
ABRUPT;Negativ;;;;;PowTot;Ngtv;;;;;;;;
ABSCOND;Negativ;Active;IAV;;;;;;;;;Hostile;;Weak;
ABSENCE;Negativ;;;;;;;;;;;;;Weak;
ABSENT#1;Negativ;;;;;;;;Passive;;;;;Weak;
ABSENT#2;;;;;;;;;Passive;;;;;;
ABSENT-MINDED;Negativ;;;;;;;;Passive;;;;;Weak;
ABSENTEE;Negativ;;;;;;;;;;;Hostile;;Weak;
